Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,U.s. political affiliation,Deception,Gender,Ethnicity,Highest education level completed,Household income (usd) [us participants only],2020 us presidential election,2024 us presidential election,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
691b76c727a192d50762a45d,66f05e51545ecf68df96f480,APPROVED,Not Applicable,2025-11-17T19:26:34.945000Z,2025-11-17T19:35:17.062000Z,2025-11-17T20:10:52.166000Z,2025-11-17T19:35:17.465496Z,523.0,C16GZ4K4,2006,English,Republican,"Yes, I would be comfortable to take part in such a study",Woman (including Trans Female/Trans Woman),White,High school diploma/A-levels,$40000–$49999,Donald Trump,Donald Trump,53,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
691b76d43fd7724891cafeeb,6779ab59311fd2904146f0d7,APPROVED,Not Applicable,2025-11-17T19:26:18.110000Z,2025-11-17T19:34:06.352000Z,2025-11-17T20:10:52.488000Z,2025-11-17T19:34:06.718004Z,469.0,C16GZ4K4,2620,English,Republican,"Yes, I would be comfortable to take part in such a study",Woman (including Trans Female/Trans Woman),Latino/Hispanic,Undergraduate degree (BA/BSc/other),More than $150000,Donald Trump,Donald Trump,30,Female,Other,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
691b76de41a8b77bdac6a68e,65e9b627677d2452e3c72b89,APPROVED,Not Applicable,2025-11-17T19:26:28.044000Z,2025-11-17T19:35:18.628000Z,2025-11-17T20:10:52.789000Z,2025-11-17T19:35:19.026443Z,531.0,C16GZ4K4,2758,English,Republican,"Yes, I would be comfortable to take part in such a study",Man (including Trans Male/Trans Man),White,Undergraduate degree (BA/BSc/other),$16000–$19999,Other candidate,I did not vote,45,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
691b76e08094ec366e55be36,676427fa7d4ecfeff61b58fe,APPROVED,Not Applicable,2025-11-17T19:26:28.961000Z,2025-11-17T19:31:53.867000Z,2025-11-17T20:10:53.099000Z,2025-11-17T19:31:54.260073Z,325.0,C16GZ4K4,591,English,Republican,"Yes, I would be comfortable to take part in such a study",Woman (including Trans Female/Trans Woman),White,Undergraduate degree (BA/BSc/other),More than $150000,Donald Trump,Donald Trump,56,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
691b76e74b41fa7fb98a091e,670c06bb7926d2525a7a7755,APPROVED,Not Applicable,2025-11-17T19:26:35.785000Z,2025-11-17T19:32:35.099000Z,2025-11-17T20:10:53.428000Z,2025-11-17T19:32:35.512872Z,360.0,C16GZ4K4,4353,"English, Russian, Spanish",Republican,"Yes, I would be comfortable to take part in such a study",Man (including Trans Male/Trans Man),Black/African American,High school diploma/A-levels,$80000–$89999,Donald Trump,Donald Trump,34,Male,Black,United States,United States,United States,English,No,Full-Time
691b7702529f0f9a29ab6d25,67d5d7068c0132f8de37783d,APPROVED,Not Applicable,2025-11-17T19:27:22.549000Z,2025-11-17T19:37:48.345000Z,2025-11-17T20:10:53.720000Z,2025-11-17T19:37:48.731480Z,626.0,C16GZ4K4,3157,English,Republican,"Yes, I would be comfortable to take part in such a study",Man (including Trans Male/Trans Man),White,Graduate degree (MA/MSc/MPhil/other),$30000–$39999,Donald Trump,Donald Trump,54,Male,White,United States,United States,United States,English,No,Part-Time
691b771c39daf4903ed2b862,67e5cefeefd6e23bf7fef2ff,APPROVED,Not Applicable,2025-11-17T19:27:51.598000Z,2025-11-17T19:49:29.947000Z,2025-11-17T20:10:54.068000Z,2025-11-17T19:49:30.361547Z,1299.0,C16GZ4K4,2382,English,Republican,"Yes, I would be comfortable to take part in such a study",Woman (including Trans Female/Trans Woman),Mixed,Undergraduate degree (BA/BSc/other),More than $150000,Donald Trump,Donald Trump,50,Female,Mixed,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
691b77288827d2d90e413a33,67765e31285547a961cb8636,APPROVED,Not Applicable,2025-11-17T19:28:03.300000Z,2025-11-17T19:36:38.728000Z,2025-11-17T20:10:54.406000Z,2025-11-17T19:36:39.190569Z,516.0,C16GZ4K4,3317,English,Republican,"Yes, I would be comfortable to take part in such a study",Man (including Trans Male/Trans Man),White,Graduate degree (MA/MSc/MPhil/other),More than $150000,Donald Trump,Donald Trump,36,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
691b7731aab368aaeb9eb778,63e630188c3e4ac4a92b1ff5,APPROVED,Not Applicable,2025-11-17T19:34:44.096000Z,2025-11-17T19:41:43.629000Z,2025-11-17T20:10:54.707000Z,2025-11-17T19:41:43.986167Z,420.0,C16GZ4K4,8201,English,Republican,"Yes, I would be comfortable to take part in such a study",Man (including Trans Male/Trans Man),White,Undergraduate degree (BA/BSc/other),$80000–$89999,Other candidate,Other candidate,50,Male,White,United States,United States,United States,English,No,Full-Time
691b773725d3d0c18048d6fd,5eb29a3db97d6b0008d24a1a,APPROVED,Not Applicable,2025-11-17T19:27:54.805000Z,2025-11-17T19:32:02.076000Z,2025-11-17T20:10:55.055000Z,2025-11-17T19:32:02.478770Z,248.0,C16GZ4K4,11156,English,Republican,"Yes, I would be comfortable to take part in such a study",Man (including Trans Male/Trans Man),White,Undergraduate degree (BA/BSc/other),$100000–$149999,Donald Trump,Donald Trump,48,Male,White,United States,United States,United States,English,No,Full-Time
691b774583572686ad6eb8b7,61074ae762b0186a302f1028,APPROVED,Not Applicable,2025-11-17T19:28:10.382000Z,2025-11-17T19:38:15.241000Z,2025-11-17T20:10:55.349000Z,2025-11-17T19:38:15.596307Z,605.0,C16GZ4K4,7749,English,Republican,"Yes, I would be comfortable to take part in such a study",Man (including Trans Male/Trans Man),White,High school diploma/A-levels,$50000–$59999,I did not vote,Kamala Harris,41,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
