Submission id,Fluent languages,U.s. political affiliation,Deception,Gender,Ethnicity,Highest education level completed,Household income (usd) [us participants only],2020 us presidential election,2024 us presidential election,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
691b80318583050b82b0e7ee,English,Republican,"Yes, I would be comfortable to take part in such a study",Man (including Trans Male/Trans Man),White,Technical/community college,$100000–$149999,Donald Trump,Donald Trump,42,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
691b805263294f1b9da2457e,English,Republican,"Yes, I would be comfortable to take part in such a study",Woman (including Trans Female/Trans Woman),White,Undergraduate degree (BA/BSc/other),$100000–$149999,Donald Trump,Donald Trump,49,Female,White,United States,United States,United States,English,No,Full-Time
691b8053d1fef8599c762312,English,Republican,"Yes, I would be comfortable to take part in such a study",Man (including Trans Male/Trans Man),White Sephardic Jew,Undergraduate degree (BA/BSc/other),$90000–$99999,Donald Trump,Donald Trump,40,Male,White,United States,United States,United States,English,No,Full-Time
691b805d5c9ab382eb63c569,English,Republican,"Yes, I would be comfortable to take part in such a study",Man (including Trans Male/Trans Man),White,Graduate degree (MA/MSc/MPhil/other),More than $150000,Donald Trump,Donald Trump,44,Male,White,United States,United States,United States,English,No,Full-Time
691b807b703f5a2e45bdbff1,English,Republican,"Yes, I would be comfortable to take part in such a study",Man (including Trans Male/Trans Man),White,Undergraduate degree (BA/BSc/other),$100000–$149999,Joe Biden,Donald Trump,26,Male,DATA_EXPIRED,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
691b808d3a4ec7cc7a98e765,English,Republican,"Yes, I would be comfortable to take part in such a study",Woman (including Trans Female/Trans Woman),White,High school diploma/A-levels,$60000–$69999,Donald Trump,Donald Trump,42,Female,Other,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
691b8091f88f74eb10eb131f,English,Republican,"Yes, I would be comfortable to take part in such a study",Man (including Trans Male/Trans Man),White,High school diploma/A-levels,$50000–$59999,Donald Trump,Donald Trump,46,Male,White,United States,United States,United States,English,No,Full-Time
691b8099bf807534ec83ac16,English,Republican,"Yes, I would be comfortable to take part in such a study",Man (including Trans Male/Trans Man),White,Technical/community college,$30000–$39999,Donald Trump,Donald Trump,39,Male,White,United States,United States,United States,English,No,Full-Time
691b80c705badba697aed45d,English,Republican,"Yes, I would be comfortable to take part in such a study",Man (including Trans Male/Trans Man),White,Undergraduate degree (BA/BSc/other),$30000–$39999,Joe Biden,Kamala Harris,57,Male,White,United States,United States,United States,English,No,Full-Time
691b814f860ef69cedc841d8,English,Republican,"Yes, I would be comfortable to take part in such a study",Woman (including Trans Female/Trans Woman),White,Graduate degree (MA/MSc/MPhil/other),$30000–$39999,Donald Trump,Donald Trump,55,Female,White,United States,United States,United States,English,No,Part-Time
